category_id,entity_id,position,product_id
402,285,0,121
384,286,0,122
402,287,0,122
382,288,0,123
391,289,0,123
433,290,0,123
384,291,0,124
402,292,0,124
384,293,0,125
402,294,0,125
382,295,0,126
391,296,0,126
433,297,0,126
384,298,0,127
402,299,0,127
382,300,0,128
391,301,0,128
433,302,0,128
384,303,0,129
402,304,0,129
384,305,0,130
402,306,0,130
382,307,0,131
391,308,0,131
433,309,0,131
382,310,0,132
391,311,0,132
433,312,0,132
382,313,0,133
391,314,0,133
433,315,0,133
382,316,0,134
391,317,0,134
433,318,0,134
382,319,0,135
391,320,0,135
433,321,0,135
382,322,0,136
391,323,0,136
433,324,0,136
382,325,0,137
391,326,0,137
433,327,0,137
382,328,0,138
391,329,0,138
433,330,0,138
382,331,0,139
391,332,0,139
433,333,0,139
382,334,0,140
391,335,0,140
433,336,0,140
382,337,0,141
391,338,0,141
433,339,0,141
382,340,0,142
391,341,0,142
433,342,0,142
382,343,0,143
391,344,0,143
433,345,0,143
382,346,0,144
417,347,0,144
444,348,0,144
382,349,0,145
417,350,0,145
444,351,0,145
382,352,0,146
417,353,0,146
444,354,0,146
402,355,0,147
402,356,0,148
402,357,0,149
384,358,0,150
401,359,0,150
456,360,0,150
384,361,0,151
401,362,0,151
456,363,0,151
384,364,0,152
401,365,0,152
456,366,0,152
384,367,0,153
401,368,0,153
456,369,0,153
384,370,0,154
401,371,0,154
456,372,0,154
384,373,0,155
401,374,0,155
456,375,0,155
384,376,0,156
401,377,0,156
456,378,0,156
381,379,0,157
412,380,0,157
468,381,0,157
381,382,0,158
412,383,0,158
468,384,0,158
381,385,0,159
412,386,0,159
468,387,0,159
381,388,0,160
468,389,0,160
381,390,0,161
468,391,0,161
398,392,0,162
381,393,0,163
467,394,0,163
381,395,0,164
412,396,0,164
480,397,0,164
382,398,0,165
393,399,0,165
479,400,0,165
381,401,0,166
412,402,0,166
468,403,0,166
385,404,0,167
406,405,0,167
465,406,0,167
385,407,0,168
406,408,0,168
465,409,0,168
381,410,0,169
412,411,0,169
481,412,0,169
385,413,0,170
406,414,0,170
465,415,0,170
381,416,0,171
412,417,0,171
482,418,0,171
381,419,0,172
412,420,0,172
381,421,0,173
412,422,0,173
384,423,0,174
392,424,0,174
384,425,0,175
394,426,0,175
385,427,0,176
405,428,0,176
464,429,0,176
384,430,0,177
393,431,0,177
439,432,0,177
385,433,0,178
405,434,0,178
464,435,0,178
385,436,0,179
405,437,0,179
464,438,0,179
384,439,0,180
398,440,0,180
384,441,0,181
393,442,0,181
439,443,0,181
384,444,0,182
392,445,0,182
385,446,0,183
405,447,0,183
464,448,0,183
381,449,0,184
412,450,0,184
469,451,0,184
381,452,0,185
412,453,0,185
385,454,0,186
405,455,0,186
464,456,0,186
385,457,0,187
405,458,0,187
464,459,0,187
381,460,0,188
412,461,0,188
382,462,0,189
393,463,0,189
479,464,0,189
381,465,0,190
412,466,0,190
468,467,0,190
381,468,0,191
412,469,0,191
481,470,0,191
382,471,0,192
