customer_id,increment_id,item_id,name,order_id,product_id,qty_ordered,sku
301,AR5406713BADCBD0,1781,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm,923,1436,1.0000,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm
301,AR5414B32D0E54C9,1782,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm,924,1436,1.0000,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm
301,AR5422C401EE44D2,1783,Arogya Rahasya Cow dung Cakes,925,1285,1.0000,Arogya Rahasya Cow dung Cakes
301,AR543A8250C2762F,1784,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm,926,1436,1.0000,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm
301,AR54427451094A67,1785,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm,927,1436,1.0000,Organic Wellness OW'Zeal Wheat Grass Powder - 100gm
301,AR54535A71B57BDF,1786,24 Mantra Almond and Moringa Chikki Combo,928,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR546F84A25F63EC,1787,Arogya Rahasya Joint Less Copper Bottle,929,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR547673011CC87D,1788,ROCK SALT G,930,1508,1.0000,268
301,AR54822E2169EED7,1789,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX,931,1468,1.0000,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX
301,AR54822E2169EED7,1790,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX,931,1468,1.0000,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX
301,AR5499124E55A3AC,1791,Arogya Rahasya Joint Less Copper Bottle,932,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR5512D16BD38283,1793,Arogya Rahasya Joint Less Copper Bottle,934,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR552777A8F00E73,1794,Arogya Rahasya Joint Less Copper Bottle,935,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR55313D91F8212E,1795,24 Mantra Almond and Moringa Chikki Combo,936,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR55407650500C60,1796,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,937,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
301,AR555B0D5F819633,1797,Arogya Rahasya Joint Less Copper Bottle,938,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR556554A55DC354,1798,Arogya Rahasya Himalayan Rock salt Globe Lamp,939,218,1.0000,Arogya Rahasya Himalayan Rock salt Globe Lamp
301,AR556554A55DC354,1799,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,939,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
301,AR557E2277C0E1C1,1800,Amlamrut Amla honey 300gms,940,1476,1.0000,Amlamrut Amla honey 300gms
